TIMESTAMP,IRT2015C1xx24,TDR2015C10624,TDR2015C11824,TDR2015C13024,TDR2015C14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-07-27 22:00:00,24.11456,26.483335,19.825,19.450000000000003,18.825,27.499333333333333,50.47183333333333,3.921133333333333,155.67666666666668,909.89178,0.0,0.0,27.64483333333333,27.341666666666665,50.58616666666667,50.35816666666667,,0.0,,,
2024-07-27 23:00:00,23.948105,26.43333,19.8,19.48333,18.833335,24.89933333333333,60.89783333333333,3.72795,270.40833333333336,912.1092933333332,0.0,0.0,25.0715,24.724,61.2775,60.5145,,0.0004996503496503,,,
2024-07-28 00:00:00,19.025675,26.475,19.808335,19.466665,18.891665,18.2675,94.27166666666668,1.7354833333333337,273.285,913.785165,0.0,0.0169333333333333,18.41183333333333,18.11683333333333,94.51166666666668,94.03,,0.0,5.071895456728589,5.832679775237876,1.15
2024-07-28 01:00:00,18.03275,26.50833,19.841665,19.491665,18.85,18.67366666666667,90.285,1.7356,224.43666666666667,914.0622783333332,0.0,0.0042333333333333,18.811,18.51533333333333,90.53333333333332,90.02833333333334,,0.0,,,
2024-07-28 02:00:00,17.649275000000003,26.5,19.85833,19.491665,18.825,17.958000000000002,93.06833333333334,1.36245,254.28583333333333,913.7096133333332,0.0,0.0042333333333333,18.101666666666667,17.795333333333335,93.24333333333334,92.88666666666668,,0.0,,,
2024-07-28 03:00:00,17.318525,26.50833,19.841665,19.46667,18.8,17.693833333333334,93.955,1.55085,162.90333333333334,910.98137,0.0,0.0084666666666666,17.83133333333333,17.536833333333334,94.145,93.77666666666669,,0.0,,,
2024-07-28 04:00:00,16.91953,26.666665,19.84167,19.450000000000003,18.85,17.344833333333334,96.54666666666668,0.6731,102.00966666666666,909.8166,0.0,0.0042333333333333,17.482166666666668,17.19333333333333,96.70166666666668,96.38333333333334,,0.0,,,
2024-07-28 05:00:00,15.842175,26.899995,19.8,19.43333,18.808335,16.6965,95.935,1.5649166666666663,179.93166666666667,909.2508666666668,0.0,0.0,16.834833333333332,16.539333333333335,96.09833333333331,95.76666666666668,,0.0,,,
2024-07-28 06:00:00,14.629725,26.999995,19.841665,19.425,18.891665,16.455666666666666,95.35166666666667,0.67235,177.69416666666666,910.07811,0.50325,0.0042333333333333,16.600666666666665,16.302333333333333,95.49333333333334,95.19333333333334,,0.0,,,
2024-07-28 07:00:00,14.614875,27.1,19.833335,19.475,18.8,16.402166666666666,98.14666666666668,0.1413,67.37713333333333,910.666265,67.74166666666666,0.0,16.546666666666667,16.244,98.31,97.99333333333334,,0.0,,,
