TIMESTAMP,IRT5003C2xx24,TDR5003C20624,TDR5003C21824,TDR5003C23024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-17 05:00:00,,,,,13.100166666666668,98.76833333333336,0.7944333333333333,167.985,920.46607,0.0,0.0,13.2405,12.9505,98.90333333333334,98.615,,,
2024-07-17 06:00:00,,,,,12.881833333333333,98.92166666666668,0.9594166666666666,177.8766666666667,920.9917316666669,4.9455,0.0,13.020166666666666,12.722333333333331,99.06,98.76333333333334,,,
2024-07-17 07:00:00,,,,,15.866666666666667,98.17166666666668,0.7324166666666667,44.937333333333335,921.3315166666667,99.2625,0.0,16.012999999999998,15.7155,98.34833333333331,97.99,,,
2024-07-17 08:00:00,17.796235000000003,23.891665,21.475,20.733335,19.063333333333333,88.85166666666667,1.2716833333333333,52.997166666666665,921.841135,268.47166666666664,0.0,19.208166666666667,18.9055,89.30333333333333,88.40666666666667,0.0,,
2024-07-17 09:00:00,20.455845,23.891665,21.491665,20.71667,21.279333333333334,81.78566666666667,1.4994666666666667,77.71883333333334,922.3753066666668,390.7766666666666,0.0,21.43433333333333,21.142,82.61033333333333,81.02433333333333,0.0,,
2024-07-17 10:00:00,23.457585,23.9,21.50833,20.7,23.47,73.2655,2.7042333333333333,58.36666666666667,922.1854183333332,567.58,0.0,23.610833333333336,23.304666666666662,74.12316666666668,72.44383333333333,0.0,,
2024-07-17 11:00:00,25.17047,23.85,21.483335,20.75,25.5165,65.40383333333334,2.4307666666666665,62.35,922.265835,694.06,0.0,25.665333333333333,25.358,66.38166666666667,64.52833333333334,0.0,,
2024-07-17 12:00:00,26.74351,23.825000000000003,21.5,20.700000000000003,27.000333333333334,57.35666666666667,2.568766666666667,61.630833333333335,922.27341,819.0,0.0,27.171666666666667,26.811333333333334,58.485,56.36783333333334,0.0,,
2024-07-17 13:00:00,26.745745,23.775,21.425,20.675,27.210500000000003,55.379666666666665,2.5112,72.87816666666666,922.0416083333332,751.2433333333333,0.0,27.393,27.017666666666667,56.25083333333334,54.55083333333334,0.0,,
2024-07-17 14:00:00,26.9116,23.7,21.43333,20.608335,27.74833333333333,53.88466666666667,2.6316333333333333,62.0515,921.7836216666668,681.58,0.0,27.942833333333333,27.556,54.755,53.060833333333335,0.0,,
2024-07-17 15:00:00,26.645035,23.666665,21.475,20.625,27.38083333333333,53.54733333333333,2.3626666666666667,73.16683333333334,921.4680283333332,452.4933333333333,0.0,27.547,27.204,54.27283333333333,52.89383333333333,0.0,,
2024-07-17 16:00:00,26.661925,23.608335,21.4,20.6,28.308,50.38466666666667,2.037583333333333,87.56566666666666,921.1159766666666,617.855,0.0,28.471666666666668,28.133,51.09883333333333,49.80416666666667,0.0,,0.33729299733443674
2024-07-17 17:00:00,26.40613,23.641665,21.4,20.566665,27.262666666666668,52.6415,1.5854333333333337,85.575,920.895245,308.49666666666667,0.0,27.421,27.096,53.04616666666666,52.2435,0.0,,0.24818943325858767
2024-07-17 18:00:00,24.700715,23.6,21.4,20.51667,26.388666666666666,54.23616666666667,1.6771,107.7705,920.802555,231.3683333333333,0.0,26.5285,26.239833333333333,54.5455,53.94133333333333,0.0,,
2024-07-17 19:00:00,24.375575,23.65,21.40833,20.508335,25.55033333333333,55.89883333333333,1.8688166666666668,136.37833333333333,920.8599266666666,114.2435,0.0,25.691666666666663,25.395166666666668,56.11016666666667,55.7015,0.0,,
2024-07-17 20:00:00,22.77815,23.61667,21.4,20.5,24.16,60.4215,1.4986333333333337,147.07833333333335,921.3250383333332,10.924433333333331,0.0,24.3105,24.004166666666663,60.56733333333333,60.278666666666666,0.0,,
2024-07-17 21:00:00,21.869435,23.608335,21.416665,20.55,23.2315,63.462,2.065,151.03833333333333,921.477875,0.0,0.0,23.368,23.0715,63.584,63.342666666666666,0.0,,
2024-07-17 22:00:00,21.79194,23.6,21.450000000000003,20.491665,22.9385,65.75566666666667,1.6053,135.8735,921.4771383333332,0.0,0.0,23.08233333333333,22.780833333333337,65.88583333333334,65.62883333333333,0.0,,
2024-07-17 23:00:00,21.2174,23.625,21.40833,20.491665,22.1355,68.68983333333334,1.3555,120.471,922.1145383333334,0.0,0.0,22.279333333333334,21.99633333333333,68.88033333333333,68.50066666666666,0.0,,
