TIMESTAMP,IRT5023A1xx24,TDR5023A10624,TDR5023A11824,TDR5023A13024,TDR5023A14224,DEN5023A1xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,et
2024-07-09 01:00:00,17.026339999999998,25.2,20.108335,25.43333,24.4,3867.87,17.825833333333332,72.12566666666666,2.3375666666666666,192.32333333333327,918.042745,0.0,0.0,17.979499999999998,17.668666666666663,72.367,71.87883333333333,,0.0,
2024-07-09 02:00:00,15.353675,25.2,20.125,25.466665,24.383335,3867.87,15.8405,81.25866666666667,1.9963,197.27,917.8239483333332,0.0,0.0,15.979833333333334,15.688166666666666,81.405,81.08866666666667,,0.0,
2024-07-09 03:00:00,14.015165,25.2,20.13333,25.45833,24.341665,3867.87,14.818333333333332,85.72833333333332,1.9925666666666664,193.37,917.555815,0.0,0.0,14.9525,14.669333333333332,85.87666666666668,85.58833333333334,,0.0,
2024-07-09 04:00:00,12.886615,25.2,20.1,25.5,24.375,3867.995,14.186833333333334,86.95333333333333,0.8516833333333333,146.3766666666667,917.4809116666668,0.0,0.0,14.326833333333331,14.036333333333332,87.13166666666666,86.76,,0.0,
2024-07-09 05:00:00,10.93739,25.183335,20.141665,25.5,24.36667,3868.9305,11.684333333333331,92.79,0.6274833333333334,142.035,917.6248066666668,0.0,0.0,11.826833333333331,11.525,93.025,92.54833333333332,,0.0,
2024-07-09 06:00:00,9.847892,25.14167,20.125,25.491665,24.383335,3868.7725,10.130833333333332,96.55,1.2562,192.16666666666663,917.574845,12.559966666666666,0.0,10.273,9.975333333333332,96.69166666666666,96.38166666666666,,0.0,
2024-07-09 07:00:00,11.606495,25.183335,20.183335,25.5,24.358335,3868.8845,13.4435,91.45783333333334,0.97405,162.845,917.5969416666668,122.1075,0.0,13.607,13.280666666666669,91.73183333333331,91.153,,0.0,
2024-07-09 08:00:00,16.74661,25.13333,20.15,25.5,24.366665,3869.367,18.342166666666667,71.88916666666667,0.5568000000000001,274.1426666666667,917.6933033333332,298.4116666666667,0.0,18.484666666666666,18.18883333333333,72.729,71.0625,,0.0,
2024-07-09 09:00:00,21.10225,25.066665,20.175,25.491665,24.358335,3869.4295,21.95433333333333,62.85183333333334,1.04655,277.71365,917.5363566666668,474.8316666666667,0.0,22.099666666666668,21.79416666666667,64.3255,61.50933333333333,,0.0,
2024-07-09 10:00:00,24.649625,25.05833,20.183335,25.5,24.391665,3869.618,25.528,49.21266666666667,1.2414666666666667,255.646,917.4026516666668,638.1,0.0,25.6755,25.372,50.718,47.7835,,0.0,
2024-07-09 11:00:00,26.55147,24.983335,20.2,25.48333,24.391665,3870.037,27.93616666666667,41.89833333333333,0.99415,229.7121833333333,917.2100166666668,771.2733333333333,0.0,28.0905,27.767666666666667,43.327666666666666,40.577,,0.0,
2024-07-09 12:00:00,27.491475,24.891665,20.2,25.341665,24.35,3869.0055,29.37333333333333,29.4725,1.549216666666667,159.32999999999998,916.9736366666668,868.2833333333333,0.0,29.52833333333333,29.2065,31.027,28.07033333333333,,0.0,
2024-07-09 13:00:00,27.284955,24.883335,20.108335,25.25,24.31667,3795.65,30.383166666666668,27.828666666666667,1.1600833333333334,172.9121,916.4878316666668,909.4833333333332,0.0,30.545666666666666,30.208666666666662,29.21733333333333,26.633333333333333,,0.0,
2024-07-09 14:00:00,27.686535,24.76667,20.125,25.1,24.341665,3708.0835,30.853666666666665,29.4705,1.3533,161.89675,916.0719216666668,896.6,0.0,31.015,30.678166666666662,30.799666666666667,28.28633333333333,0.1050461495117567,0.0,
2024-07-09 15:00:00,28.292595,24.65,20.1,24.95,24.308335,3693.47,31.258166666666668,28.252,1.7457166666666666,151.45466666666667,915.82531,834.0433333333333,0.0,31.4125,31.085,29.40683333333333,27.247166666666665,0.4488536776314373,0.0,
2024-07-09 16:00:00,28.739985,24.64167,20.033335,24.816665,24.291665,3690.9965,30.70233333333333,34.973,2.38565,57.69533333333333,915.67652,684.9016666666666,0.0,30.855166666666666,30.540000000000003,36.1945,33.882333333333335,0.646306422573911,0.0,
2024-07-09 17:00:00,28.409455,24.541665,20.05,24.73333,24.241665,3691.7575,29.968166666666665,36.31133333333333,2.394333333333333,63.29733333333333,915.4770116666666,567.3866666666667,0.0,30.117666666666665,29.80816666666667,37.25483333333333,35.38133333333334,0.6284391764463602,0.0,
2024-07-09 18:00:00,27.1638,24.525,20.033335,24.59167,24.19167,3693.698,29.686833333333333,36.056,1.6761666666666666,74.1365,915.414245,398.92,0.0,29.826166666666666,29.527833333333334,36.908,35.261833333333335,,0.0,
2024-07-09 19:00:00,26.40533,24.5,20.0,24.541665,24.2,3710.803,28.71733333333333,37.344,1.3963333333333334,106.55083333333332,915.46199,214.295,0.0,28.858,28.559833333333334,37.871833333333335,36.888333333333335,,0.0,
2024-07-09 20:00:00,24.32638,24.5,20.0,24.5,24.18333,3728.4975,26.709333333333333,44.6535,0.6365999999999999,122.19433333333332,915.74607,56.143166666666666,0.0,26.85383333333333,26.550166666666662,45.002500000000005,44.36866666666666,,0.0,
2024-07-09 21:00:00,21.237865,24.5,19.991665,24.5,24.16667,3745.262,23.407666666666668,57.55433333333333,1.0299166666666666,156.275,916.0196616666668,0.6657333333333334,0.0,23.549666666666667,23.26066666666667,57.7695,57.35083333333333,,0.0,
2024-07-09 22:00:00,18.256235,24.5,20.01667,24.5,24.2,3765.443,22.5245,59.66383333333333,1.5737,155.46666666666667,916.6768166666666,0.0,0.0,22.660500000000003,22.38283333333333,59.834,59.5075,,0.0,
2024-07-09 23:00:00,17.829475,24.5,20.025,24.5,24.183335,3777.8705,20.13133333333333,68.7025,0.4517666666666667,108.94533333333334,917.270925,0.0,0.0,20.296333333333333,19.966666666666665,69.06266666666667,68.32,,0.0,
2024-07-10 00:00:00,14.85507,24.5,20.04167,24.533335,24.15833,3789.5335,19.57733333333333,70.87816666666666,1.2851333333333337,162.52833333333334,917.5739283333334,0.0,0.0,19.72683333333333,19.409,71.09383333333334,70.65516666666667,,0.0,5.0633406876315945
2024-07-10 01:00:00,16.39199,24.5,20.016665,24.6,24.175,3804.8765,19.697333333333333,69.66666666666667,1.3735,178.04751666666667,917.5502216666666,0.0,0.0,19.841833333333334,19.539166666666667,69.88083333333334,69.44416666666666,,0.0,
2024-07-10 02:00:00,14.97088,24.5,20.01667,24.6,24.183335,3808.6185,17.113833333333332,80.25933333333334,0.3490666666666666,74.44733333333333,917.7077333333332,0.0,0.0,17.267166666666665,16.958833333333335,80.59483333333333,79.90983333333334,,0.0,
2024-07-10 03:00:00,14.176,24.5,20.075,24.616665,24.166665,3816.7265,15.13,89.925,0.3492833333333333,120.13,917.667065,0.0,0.0,15.277166666666666,14.978833333333334,90.12666666666668,89.69333333333334,,0.0,
2024-07-10 04:00:00,14.09535,24.5,20.11667,24.6,24.175,3818.473,14.796,91.9,0.7277833333333333,133.06866666666667,917.482215,0.0,0.0,14.936666666666667,14.638833333333334,92.11666666666666,91.67,,0.0,
2024-07-10 05:00:00,13.151835,24.5,20.116665,24.6,24.158335,3818.473,13.933833333333332,92.695,0.7835333333333333,125.08866666666668,917.3506516666667,0.0,0.0,14.084,13.7815,92.935,92.44833333333332,,0.0,
2024-07-10 06:00:00,12.56204,24.491665,20.108335,24.658335,24.183335,3818.473,13.294,94.00166666666668,0.5502,134.165,917.5295783333332,7.476766666666666,0.0,13.4335,13.1285,94.22333333333331,93.75833333333334,,0.0,
2024-07-10 07:00:00,13.57619,24.475,20.108335,24.675,24.16667,3818.7845,15.127666666666666,91.07166666666669,0.3936833333333333,137.25,917.85686,108.7255,0.0,15.2755,14.971666666666666,91.33166666666666,90.815,,0.0,
