TIMESTAMP,IRT2023C1xx24,TDR2023C10624,TDR2023C11824,TDR2023C13024,TDR2023C14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc,recommendation
2024-07-31 16:00:00,28.951595,23.291665,17.766665,20.25,23.166665,33.95916666666667,38.05916666666667,2.41325,257.32225,913.0840566666668,671.8816666666667,0.0,34.11716666666667,33.79566666666667,39.387166666666666,36.6605,0.0,0.0845822177822179,,,,0.23887975367494746
2024-07-31 17:00:00,28.75329,23.216665,17.708334999999998,20.216665,23.166665,33.42466666666667,38.495,2.1216,166.93951666666666,912.7787716666668,508.0783333333333,0.0,33.58266666666667,33.26833333333333,39.705000000000005,37.209500000000006,0.0,0.0912421578421578,,,,0.24280677980149415
2024-07-31 18:00:00,26.80277,23.191665,17.7,20.208335,23.11667,32.54666666666667,38.61266666666667,1.90945,207.4988666666667,912.8303983333334,334.495,0.0,32.702666666666666,32.39533333333333,39.71566666666667,37.58283333333333,,0.092907092907093,,,,0.36939867092131407
2024-07-31 19:00:00,25.524625,23.175,17.641665000000003,20.15,23.125,30.785666666666668,42.66666666666666,1.3802166666666666,172.36916666666667,913.218955,143.4586666666667,0.0,30.9345,30.624666666666663,43.50216666666667,41.81283333333333,,0.0982351648351644,,,,0.3755623633921084
2024-07-31 20:00:00,22.20574,23.191665,17.608335,20.116665,23.1,27.331666666666667,52.27133333333334,0.5878666666666666,73.50311666666667,913.9569816666666,29.0703,0.0,27.4725,27.16183333333333,52.85216666666667,51.632666666666665,,0.1002331668331668,,,,0.37779232627862025
2024-07-31 21:00:00,18.30486,23.216665,17.65,20.191665,23.1,21.139166666666664,72.51933333333334,1.1990666666666667,194.22166666666664,914.4120816666668,0.0,0.0,21.28,20.980833333333333,72.83200000000001,72.21316666666667,,0.0945722277722274,,,,0.3713604836471976
2024-07-31 22:00:00,16.81662,23.275,17.608335,20.208335,23.108335,20.376,71.8515,0.6812833333333334,144.65666666666667,915.3476783333332,0.0,0.0,20.531166666666664,20.207666666666668,72.32333333333332,71.36266666666667,,0.0932399600399602,,,,0.36979353720318875
2024-07-31 23:00:00,16.406365,23.266665,17.6,20.158335,23.125,22.310166666666664,61.3615,0.2545666666666666,54.57933333333333,916.1081283333332,0.0,0.0,22.44366666666667,22.16166666666667,61.85316666666667,60.9275,,0.0959040959040956,,,,0.3729059515855239
2024-08-01 00:00:00,16.40815,23.275,17.608335,20.191665,23.141665,21.63383333333333,66.62366666666667,0.1379333333333333,45.55683333333333,916.946735,0.0,0.0,21.7805,21.483666666666668,66.97816666666667,66.23816666666667,,0.0939060939060938,5.099879184074781,5.864861061685997,1.15,0.37057968163111793
2024-08-01 01:00:00,15.84701,23.275,17.608335,20.2,23.13333,19.487,77.57283333333334,0.5143833333333333,82.40883333333333,917.540595,0.0,0.0,19.642,19.33033333333333,77.81166666666667,77.34116666666667,,0.0935730269730272,,,,0.3701872828086866
