TIMESTAMP,TDR2009A40624,TDR2009A41824,TDR2009A43024,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,eto,etc,kc
2024-07-30 10:00:00,23.05,12.725,12.208335,27.267333333333333,68.24533333333333,1.7392166666666666,306.91414999999995,910.0712066666669,582.5683333333333,0.0,27.40533333333333,27.11466666666667,69.19966666666666,67.29316666666666,0.6170495504495507,,,
2024-07-30 11:00:00,23.016665,12.725,12.2,29.5225,62.232,1.73965,298.0519333333333,910.0980383333332,722.1133333333333,0.0,29.682166666666667,29.358833333333333,63.35183333333334,61.182,0.6187146853146854,,,
2024-07-30 12:00:00,23.0,12.716665,12.233335,31.847166666666663,56.16116666666667,1.3403166666666666,263.70598333333334,909.9818416666666,816.575,0.0,31.99633333333333,31.686833333333333,57.50816666666667,54.95683333333333,0.6183816183816182,,,
2024-07-30 13:00:00,22.90833,12.74167,12.2,33.30016666666667,52.51,1.24515,243.7358333333333,909.8297033333332,863.5,0.0,33.454166666666666,33.1365,53.76233333333333,51.27916666666667,0.6223776223776224,,,
2024-07-30 14:00:00,22.808335,12.691665,12.2,34.622499999999995,48.05833333333333,1.1679666666666668,168.72666666666666,909.5843783333332,851.1666666666666,0.0,34.78,34.452666666666666,49.17233333333333,47.005,0.6283716283716284,,,
2024-07-30 15:00:00,22.8,12.675,12.2,35.26716666666667,47.11483333333333,1.42585,75.23859999999999,909.3313133333334,780.3483333333334,0.0,35.429,35.095,48.53066666666667,45.866166666666665,0.6293706293706293,,,
2024-07-30 16:00:00,22.78333,12.616665,12.2,34.54066666666667,50.051833333333335,2.3991666666666664,57.69166666666667,908.8226633333333,673.5883333333334,0.0,34.69233333333333,34.37716666666667,51.204166666666666,48.90566666666667,0.6323678321678323,,,
2024-07-30 17:00:00,22.733335,12.625,12.2,35.80883333333334,44.9175,1.7503,115.894,908.3762516666668,524.1316666666667,0.0,35.96516666666666,35.64566666666666,45.99916666666666,43.848333333333336,0.6340325674325678,,,
2024-07-30 18:00:00,22.71667,12.608335,12.2,35.3115,45.56466666666667,1.7185,106.0815,908.1493983333334,354.37166666666667,0.0,35.505,35.104,47.429,43.6265,0.6353644355644356,,,
2024-07-30 19:00:00,22.641665,12.591665,12.2,34.6775,42.122,1.9163333333333328,135.32733333333334,908.2278183333332,150.55066666666664,0.0,34.83716666666667,34.51316666666666,42.79966666666667,41.35933333333333,0.6390277722277722,,,
2024-07-30 20:00:00,22.616665,12.6,12.183335,30.482166666666668,65.03666666666666,0.7788,124.54733333333334,908.2997733333334,24.71415,0.0,30.617833333333333,30.332666666666668,65.38583333333334,64.66383333333333,0.6403596403596403,,,
2024-07-30 21:00:00,22.658335,12.6,12.2,28.874166666666667,62.67133333333334,1.4923166666666667,143.46666666666667,908.35043,0.0,0.0,29.021,28.721166666666665,62.94083333333333,62.41566666666667,0.6380285714285713,,,
2024-07-30 22:00:00,22.7,12.616665,12.225,25.448,82.96700000000001,0.45105,109.2915,908.9152566666668,0.0,0.0,25.600666666666665,25.2785,83.32883333333332,82.62533333333334,0.6346987012987013,,,
2024-07-30 23:00:00,22.65833,12.608335,12.191665,23.094833333333334,92.86666666666666,0.33285,70.69833333333332,909.2497233333332,0.0,0.0,23.24866666666667,22.942,93.35333333333332,92.41,0.6380287712287713,,,
2024-07-31 00:00:00,22.64167,12.633335,12.191665,23.02,96.73166666666664,1.1433666666666666,69.99183333333333,909.5805633333332,0.0,0.0,23.1655,22.8805,96.92833333333331,96.53333333333332,0.6376955044955043,4.179376810170577,4.8062833316961635,1.15
2024-07-31 01:00:00,22.691665,12.65,12.208335,23.5505,95.00666666666666,1.08735,75.666,909.9227483333332,0.0,0.0,23.693166666666663,23.3945,95.15833333333332,94.84833333333331,0.6343656343656344,,,
2024-07-31 02:00:00,22.625,12.616665,12.191665,22.843666666666664,95.48,0.5147833333333334,39.1535,909.8519916666668,0.0,0.0,22.985833333333336,22.694,95.64666666666668,95.30333333333331,0.6390277722277722,,,
2024-07-31 03:00:00,22.675,12.65,12.191665,22.484166666666667,96.20166666666668,2.1264333333333334,174.49949999999998,910.5253766666666,0.0,0.0,22.637,22.334333333333333,96.41666666666669,96.00166666666668,0.6356977022977023,,,
2024-07-31 04:00:00,22.608335,12.7,12.225,21.751,96.98666666666666,0.4159333333333333,116.16088333333332,910.100425,0.0,0.0,21.90333333333333,21.5975,97.16333333333334,96.805,0.6350315684315686,,,
2024-07-31 05:00:00,22.633335,12.7,12.2,20.45983333333333,99.04166666666669,0.6079333333333333,155.11916666666667,909.965365,0.0,0.0,20.61916666666667,20.293666666666663,99.19833333333332,98.865,0.6350315684315686,,,
2024-07-31 06:00:00,22.6,12.708335,12.2,20.497166666666665,99.55833333333334,0.5075166666666667,120.61116666666666,909.979965,0.0,0.0,20.654666666666667,20.332833333333333,99.70666666666666,99.395,0.6360305694305695,,,
2024-07-31 07:00:00,22.6,12.7,12.2,22.58533333333333,84.218,3.1973666666666665,233.2933333333333,911.4450133333332,1.517283333333333,0.0,22.758333333333333,22.401666666666664,84.96766666666667,83.44683333333334,0.6363636363636365,,,
2024-07-31 08:00:00,22.6,12.725,12.208335,25.900666666666663,44.9935,1.6366666666666667,180.78866666666667,911.91069,18.6886,0.0,26.092,25.692166666666665,46.04266666666667,43.9865,0.6350315684315686,,,
2024-07-31 09:00:00,22.591665,12.71667,12.2,24.26783333333333,67.11316666666667,2.28255,241.70665,911.679205,55.96541666666667,0.0,24.428,24.101,67.71583333333334,66.57983333333333,0.6360305694305695,,,
2024-07-31 10:00:00,22.549995000000003,12.708335,12.208335,25.215666666666667,76.49566666666666,2.51935,326.6505333333333,911.9504566666668,220.44,0.0,25.36233333333333,25.055666666666664,77.00583333333334,75.98216666666667,0.6376957042957043,,,
