TIMESTAMP,IRT5006B1xx24,TDR5006B10624,TDR5006B11824,TDR5006B13024,TDR5006B14224,DEN5006B1xx24,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,cwsi,swsi,eto,etc,kc
2024-07-14 14:00:00,31.379065,21.90833,14.466665,11.808335,17.625,1562.4675,32.504333333333335,36.91033333333333,3.063616666666667,166.495,916.3590833333332,619.51,0.0,32.67466666666667,32.325,37.4875,36.4025,,0.5621879120879123,,,
2024-07-14 15:00:00,32.7032,21.833335,14.416665,11.808335,17.6,1558.678,33.576166666666666,36.771,3.232833333333333,169.95833333333334,915.834005,772.985,0.0,33.747,33.4015,37.3405,36.24033333333333,,0.5666832667332667,,,
2024-07-14 16:00:00,34.34227,21.8,14.4,11.81667,17.591665000000003,1552.726,34.246833333333335,37.799,2.618383333333333,158.35333333333335,915.2898966666668,656.1716666666667,0.0,34.408166666666666,34.06433333333333,38.35133333333333,37.27183333333333,,0.568181768231768,,,
2024-07-14 17:00:00,34.979965,21.73333,14.4,11.841665,17.516665,1550.937,34.54633333333334,36.575833333333335,2.04305,146.32833333333335,914.726835,532.72,0.0,34.69666666666667,34.38699999999999,37.09816666666666,36.133,,0.5716785214785216,,,
2024-07-14 18:00:00,35.0234,21.7,14.383335,11.84167,17.466665000000003,1551.4625,34.33166666666667,37.73350000000001,2.301133333333333,147.29833333333332,914.13646,376.06666666666666,0.0,34.4815,34.174,38.134,37.36533333333333,,0.5746752247752247,,,
2024-07-14 19:00:00,33.440059999999995,21.7,14.391665,11.875,17.41667,1555.5990000000002,33.095,41.459500000000006,1.8342,141.04166666666666,913.799655,175.99766666666667,0.0,33.23983333333333,32.936166666666665,41.7285,41.214333333333336,,0.5749250249750251,,,
2024-07-14 20:00:00,29.696415,21.708335,14.383335,11.883335,17.425,1596.2125,30.386000000000003,52.59133333333333,0.4590333333333333,102.20053333333334,913.728175,43.571000000000005,0.0,30.53633333333333,30.229166666666668,53.01833333333333,52.1635,,0.5744254245754244,,,
2024-07-14 21:00:00,26.96129,21.7,14.36667,11.875,17.416665,1627.1595,27.444333333333336,63.70583333333333,0.4603166666666666,123.37233333333332,913.9820783333332,0.0009833333333333,0.0,27.578333333333333,27.2965,63.85566666666667,63.5495,,0.5756742757242758,,,
2024-07-14 22:00:00,25.462055000000003,21.733335,14.383335,11.85,17.441664999999997,1638.692,26.3445,69.04566666666666,0.4855,146.28833333333333,914.317885,0.0,0.0,26.482166666666668,26.19366666666667,69.18466666666667,68.90616666666666,,0.5741757742257744,,,
2024-07-14 23:00:00,24.92128,21.708335,14.408335,11.866665,17.4,1645.5855,26.106166666666663,70.26816666666667,1.2231833333333335,152.5016666666667,914.4176266666668,0.0,0.0,26.253666666666668,25.954833333333333,70.40983333333334,70.1165,,0.5749250249750251,,,
2024-07-15 00:00:00,24.695355,21.716670000000004,14.375,11.858335,17.4,1652.0515000000005,25.217,75.63550000000001,1.1687166666666668,149.975,914.3425983333332,0.0,0.0,25.3595,25.063333333333333,75.80683333333333,75.4665,,0.5759239260739257,5.756355761987023,6.907626914384427,1.2
2024-07-15 01:00:00,23.03719,21.716664999999995,14.408335,11.883335,17.4,1659.4839999999997,24.02233333333333,80.87933333333334,1.3555,165.78,913.550375,0.0,0.0,24.1705,23.876166666666663,81.06516666666667,80.68083333333334,,0.5741757742257744,,,
2024-07-15 02:00:00,21.841115,21.708335,14.433335,11.875,17.441665,1669.7624999999998,22.720666666666663,85.15333333333334,1.5483833333333334,173.31573333333333,912.9406416666668,0.0,0.0,22.868666666666662,22.5865,85.44333333333334,84.87316666666668,,0.5726772727272728,,,
2024-07-15 03:00:00,21.596145,21.708335,14.408335,11.891665,17.4,1684.042,22.1345,87.99166666666666,1.2493,184.2866666666667,912.3226183333334,0.0,0.0,22.27983333333333,21.9955,88.24666666666667,87.73666666666666,,0.574175774225774,,,
2024-07-15 04:00:00,21.401,21.733335,14.416665,11.86667,17.458335,1698.2195,21.654333333333334,91.72333333333331,1.88015,189.8883333333333,912.7440283333332,0.0,0.0,21.794500000000003,21.51533333333333,91.955,91.51333333333334,,0.5721776723276721,,,
2024-07-15 05:00:00,21.098765,21.7,14.441665,11.841665,17.425,1704.188,21.206666666666667,86.93616666666667,2.1437666666666666,193.1233333333333,912.223885,0.0,0.0,21.349,21.0535,87.234,86.61633333333334,,0.574175924075924,,,
2024-07-15 06:00:00,20.6981,21.7,14.425,11.875,17.466665000000003,1704.188,20.3225,80.09316666666668,2.031333333333333,193.77666666666667,911.9650766666668,2.9258,0.0,20.46783333333333,20.164166666666667,80.4255,79.76666666666667,,0.5724276223776223,,,
2024-07-15 07:00:00,20.17093,21.68333,14.416670000000002,11.833329999999998,17.5,1704.188,21.663,67.882,1.6147833333333332,201.99666666666664,912.036345,52.16016666666667,0.0,21.820833333333333,21.5025,68.31466666666667,67.4025,,0.5734266733266733,,,
2024-07-15 08:00:00,23.21338,21.7,14.471665000000002,11.9,17.43,1704.0785,25.15233333333333,51.64816666666666,1.7344333333333333,244.1,912.6063583333332,167.08666666666667,0.0,25.299166666666668,24.991,52.10966666666666,51.17733333333333,,0.5713786713286714,,,
2024-07-15 09:00:00,26.625255,21.683335,14.491665,11.9,17.433335,1704.896,27.7985,47.19266666666667,0.99305,264.8162,912.84696,446.56666666666666,0.0,27.95383333333333,27.639333333333333,48.1205,46.25233333333333,,0.5711787712287714,,,
2024-07-15 10:00:00,29.466695,21.60833,14.441665,11.86667,17.416665000000002,1704.096,30.43,40.4335,1.5431,294.3583333333333,912.8874566666668,610.4533333333333,0.0,30.5795,30.262833333333333,41.274,39.6615,,0.5764236763236763,,,
2024-07-15 11:00:00,30.78031,21.55833,14.425,11.841665,17.383335,1678.0559999999998,31.944333333333336,39.64433333333333,3.4964166666666667,84.02585,913.3036983333332,742.4116666666666,0.0,32.10016666666667,31.7775,40.66566666666667,38.59983333333333,,0.58016993006993,,,
