TIMESTAMP,IRT2006B1xx24,TDR2006B10624,TDR2006B11824,TDR2006B13024,TDR2006B14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-13 21:00:00,19.96667,22.333335,19.658335,18.9,12.316665,26.956333333333337,70.68466666666667,0.2321333333333333,104.24466666666667,915.221635,0.3540333333333333,0.0,27.10683333333333,26.798333333333336,70.89266666666667,70.46966666666667,0.3404095404595404,,
2024-07-13 22:00:00,19.991665,22.34167,19.66667,18.916665,12.31667,24.596,75.97683333333333,0.06725,19.598333333333336,915.5839883333332,0.0,0.0,24.758166666666668,24.442666666666664,76.2465,75.6695,0.3394103396603398,,
2024-07-13 23:00:00,20.0,22.325,19.691665,18.916665,12.308335,20.448500000000003,89.15,0.6626833333333334,114.34,915.8132216666668,0.0,0.0,20.59883333333333,20.29133333333333,89.45833333333333,88.825,0.3394106393606393,,
2024-07-14 00:00:00,20.03333,22.333335,19.683335,18.9,12.316665,18.5375,94.98333333333332,1.3555166666666667,182.63,915.9575366666668,0.0,0.0,18.688333333333333,18.366333333333333,95.205,94.735,0.3396602897102898,5.675174167025019,
2024-07-14 01:00:00,20.041665,22.341665,19.716665,18.916665,12.333335,19.541833333333333,94.06166666666668,0.6784166666666667,159.41716666666667,915.71962,0.0,0.0,19.692166666666665,19.376666666666665,94.32833333333332,93.775,0.3374126873126873,,
2024-07-14 02:00:00,20.06667,22.333335,19.7,18.908335,12.3,19.34433333333333,94.54333333333334,0.3953333333333333,125.78966666666666,915.2528066666669,0.0,0.0,19.5025,19.177666666666667,94.80833333333334,94.26666666666668,0.3394104895104894,,
2024-07-14 03:00:00,20.066665,22.341665,19.741665,18.908335,12.325,17.296333333333333,97.78166666666668,0.9045333333333332,197.57,915.15542,0.0,0.0,17.44783333333333,17.1295,97.96666666666668,97.58,0.3371628871128874,,
2024-07-14 04:00:00,20.06667,22.34167,19.775,18.95,12.35,18.639333333333333,95.825,0.5403833333333333,171.35,915.0802216666668,0.0,0.0,18.785833333333336,18.48333333333333,96.03666666666666,95.59666666666666,0.3341657342657341,,
2024-07-14 05:00:00,20.091665,22.341665,19.8,18.933335,12.316669999999998,20.2025,88.72,3.7784,28.25255,917.1019266666666,0.0,0.0,20.37333333333333,20.03183333333333,89.05666666666666,88.3495,0.3349149850149851,,
2024-07-14 06:00:00,20.04167,22.3,19.825000000000003,18.96667,12.291665,18.36433333333333,83.78166666666667,2.872183333333333,54.34133333333333,917.6983933333332,5.879966666666666,0.0,18.505666666666663,18.209666666666667,84.015,83.54166666666667,0.3351647852147854,,
2024-07-14 07:00:00,20.058335,22.3,19.833335,18.991665,12.316665,18.2605,80.28233333333334,2.0679666666666665,43.46266666666667,918.2543166666668,88.911,0.0,18.404333333333334,18.107166666666668,80.57933333333334,79.96000000000001,0.3334166333666331,,
2024-07-14 08:00:00,20.033335,22.291665,19.8,18.975,12.308335,20.023666666666667,72.10866666666668,1.86355,61.99633333333334,918.3669866666668,273.90833333333336,0.0,20.165333333333333,19.858666666666668,72.58933333333333,71.67116666666668,0.3354145854145854,,
2024-07-14 09:00:00,20.025,22.3,19.8,18.9,12.30833,23.083,59.38483333333333,1.5316166666666668,79.85833333333333,918.0122566666666,433.03333333333336,0.0,23.244666666666667,22.921666666666667,60.04416666666667,58.776,0.3374126873126873,,
2024-07-14 10:00:00,20.0,22.249995,19.741665,18.908335,12.333335,26.865333333333336,45.36983333333333,1.7338166666666666,122.68383333333333,917.5159916666668,606.4266666666666,0.0,27.01683333333333,26.703333333333333,46.0535,44.6785,0.3396604395604397,,
2024-07-14 11:00:00,20.0,22.2,19.61667,18.91667,12.33333,30.418666666666663,35.537166666666664,2.0942,129.58133333333333,917.3269183333334,738.3616666666666,0.0,30.578666666666667,30.254666666666665,36.2255,34.95466666666667,0.3446552447552448,,
2024-07-14 12:00:00,19.925,22.133335,19.591665,18.883335,12.3,31.643833333333337,35.4345,3.172083333333333,166.10166666666666,917.0568116666668,831.1866666666666,0.0,31.809833333333334,31.46466666666667,36.04816666666667,34.8225,0.3494005494505494,,
2024-07-14 13:00:00,19.891665,22.066665,19.575000000000003,18.9,12.308335,32.28366666666667,35.79316666666667,3.706616666666666,174.42166666666665,916.662235,879.1083333333333,0.0,32.454166666666666,32.097166666666666,36.33866666666667,35.236999999999995,0.3511488511488511,,
2024-07-14 14:00:00,19.866665,22.0,19.466665,18.816665,12.35,32.504333333333335,36.91033333333333,3.063616666666667,166.495,916.3590833333332,619.51,0.0,32.67466666666667,32.325,37.4875,36.4025,0.3576424575424574,,
2024-07-14 15:00:00,19.875,21.975,19.383335,18.733335,12.31667,33.576166666666666,36.771,3.232833333333333,169.95833333333334,915.834005,772.985,0.0,33.747,33.4015,37.3405,36.24033333333333,0.3643854145854148,,
